Name,Price (£),Price ($),Ingredients,URL
2.5Kg Bulk 41% Milk Hot Chocolate Drops,50,57.12,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Beans, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5Kg Bulk 61% Dark Hot Chocolate Drops,50,57.12,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,8,9.1392,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Beans, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,8,9.1392,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/62-dark-hot-chocolate
Almost Perfect,1,1.1424,No Ingredients,https://www.chocolate.co.uk/products/almost-perfect
Assorted Chocolate Malt Balls,9,10.2816,"White Chocolate (25%)Â (32% Cocoa Minimum, Pure Cocoa Butter) (65%): Cocoa Butter, Sugar,Â Whole Milk Powder,Â SkimmedÂ Milk Powder,Â WheyÂ Powder, Caramelised Sugar,Â Emulsifier:Â (Soya Lecithin), Natural Vanilla Flavouring, Salt. Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter,Â Milk Powder, Cocoa Beans,Â Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Dark Chocolate (25%) (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter,Â Emulsifier: SunflowerÂ Lecithin, Natural Vanilla Extract. Malt Ball Centres (25%): Corn Syrup, Sugar,Â Dairy BlendÂ (Whey,Â Whey Protein Concentrate), Malt Powder (Malted Barley,Â Wheat,Â Milk,Â Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt),Â Malted Barley,Â Soya Lecithin, Salt. Gum Arabic.",https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
Blonde Caramel,5,5.712,"White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring.",https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,8,9.1392,"White Chocolate (Min 35% Cocoa Min, Pure Cocoa Butter, 24.7% Milk Solids): Cocoa Butter, Sugar, Whole Milk Powder, Dried Skimmed Milk, Whey, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Extract, Honeycomb (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,9,10.2816,"White Chocolate (32% Cocoa Minimum, Pure Cocoa Butter) (65%): Cocoa Butter, Sugar,Â Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Caramelised Sugar, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring, Salt. Malt Ball Centres (35%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt.",https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,19,21.7056,"White Chocolate (32% Cocoa Minimum, Pure Cocoa Butter, 24.7% Milk Solid) Sugar, Cocoa Butter, Whole Milk Powder, Dried Skimmed Milk, Whey, Butter, Emulsifier (Soya Lecithin), Natural Vanilla Extract, Cream, Glucose, Sorbitol, Sunflower Lecithin.",https://www.chocolate.co.uk/products/blonde-chocolate-truffles
Bulk 41% Milk Hot Chocolate Drops 750 Grams,17,19.4208,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Beans, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 Grams,17,19.4208,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,5,5.712,"Milk Chocolate (39% Cocoa Solids, Pure Cocoa Butter): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Solids, Skimmed Milk, Whey (milk), Butter (milk), Emulsifier : Soya Lecithin, Flavourings.",https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,5,5.712,"Milk Chocolate (35%) (Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin, Sunflower Lecithin), Natural Vanilla Extract, Blonde Chocolate (65%) (Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter (Milk), Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring), Star Anise Oil, Ginger Oil, Cinnamon OIl, Clove Oil.",https://www.chocolate.co.uk/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,8,9.1392,"Caramelised Pecans (60%):Â Pecan Nut, Sugar. Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (40%): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Mass, Emulsifier:Â SoyaÂ Lecithin, Vanilla Extract.",https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,55,62.832,No Ingredients,https://www.chocolate.co.uk/products/celebration-hamper
Christmas Cracker,5,5.712,"Milk Chocolate (43% Cocoa Min, Pure Cocoa Butter, 19% Milk Solids) (93%): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Biscuit Pearls (3.5%): Dark Chocolate Coating (55% Cocoa Min, Pure Cocoa Butter), Sugar, Cocoa Bean, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Emulsifier: (Sunflower Lecithin), Natural Vanilla Extract. Popping Candy (3.5%): Sugar, Cocoa Butter, Lactose, Milk Powder, Cocoa Paste, Glucose Syrup, Butter, Emulsifier: Soya Lecithin, Vanilla, Propellent Gas: Carbon Dioxide, E290.",https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Cinnamon Toast,5,5.712,"White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter) (95.47%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring. Sourdough Cracker (4.5%): Milk, Rye Flour, Wheat Flour (Wheat Flour, Calcium, Iron, Thiamin, Niacin), Sourdough 12% (Rye Flour, Water), Wholemeal Wheat Flour, Honey, Salt. Organic Cinnamon Essential Oil (0.03%).",https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Collection Of 4 Of Our Best Selling Chocolate Malt Balls,30,34.272,"Milk Chocolate (75%) (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Beans, Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey, WheyÂ Protein Concentrate), Malt Powder (MaltedÂ Barley,Â Wheat,Â Milk, HydrolysedÂ WheatÂ Gluten, Sodium Bicarbonate, Salt), MaltedÂ Barley,Â Emulsifier:Â SoyaÂ Lecithin. Organic Sweet Orange Essential Oil, Gum Arabic.",https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,5,5.712,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (Soya Lecithin), Vanilla Extract.",https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Crunchy Biscuit,5,5.712,"Caramelised White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter) (96%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring. Biscuit Pearls (4%): Dark Chocolate Coating (55% Cocoa Min, Pure Cocoa Butter), Sugar, Cocoa Bean, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Emulisifer: (Sunflower Lecithin), Natural Vanilla Extract.",https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,8,9.1392,"Ginger (55%): Ginger, Sugar,Â WheatÂ Glucose Syrup,Â WheatÂ Dextrose. Dark Chocolate (61% Cocoa minimum, Pure Cocoa Butter) (45%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (SoyaÂ lecithin), Vanilla Extract.",https://www.chocolate.co.uk/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,8,9.1392,"Dark Chocolate (61% Cocoa Min, Pure Cocoa Butter) Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Extract, Honeycomb (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",https://www.chocolate.co.uk/products/dark-chocolate-honeycomb
Dark Chocolate Malt Balls,9,10.2816,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Natural Vanilla Extract. Malt Ball Centres (35%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt.",https://www.chocolate.co.uk/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,10,11.424,"Candied Orange Peel (55%): Orange Peel, Sugar,Â WheatÂ Glucose Syrup,Â WheatÂ Dextrose. Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (45%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: (SoyaÂ lecithin), Vanilla Extract.",https://www.chocolate.co.uk/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,19,21.7056,"Dark Chocolate (55% Cocoa Minimum, Pure Cocoa Butter), Sugar, Cocoa Beans, Emulsifier (Soya Lecithin), Natural Vanilla Extract. Glucose, Cream, Sorbitol, Butter, UHT Whole Milk, Dextrose, Sunflower Lecithin.",https://www.chocolate.co.uk/products/dark-chocolate-truffles
Ecudorian 41%,5,5.712,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (100%): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin) Vanilla Extract.",https://www.chocolate.co.uk/products/ecuadorian-41-milk-chocolate-bar
Flat White Coffee,5,5.712,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (100%), White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, WholeÂ MilkÂ Powder, SkimmedÂ MilkÂ Powder, Emulsifier: (SoyaÂ Lecithin), Vanilla Extract, Coffee.",https://www.chocolate.co.uk/products/flat-white-coffee
Gift Voucher,10,11.424,No Ingredients,https://www.chocolate.co.uk/products/gift-voucher
Ginger Biscuit,5,5.712,"White Chocolate (35% Cocoa Minimum, Pure Cocoa Butter) (96.33%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring. Biscuit Pearls (3.6%): Dark Chocolate Coating (55% Cocoa Min, Pure Cocoa Butter), Sugar, Cocoa Bean, Cocoa Butter, Biscuit Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Emulsifier: (Sunflower Lecithin), Natural Vanilla Extract. Organic Ginger Essential Oil (0.06%). Organic Cinnamon Essential Oil (0.01%).",https://www.chocolate.co.uk/products/ginger-biscuit-chocolate-bar
Honeycomb Crunch,5,5.712,"Milk Chocolate (41% Cocoa Min, Pure Cocoa Butter) Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Honeycomb (3%) (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",https://www.chocolate.co.uk/products/honeycomb-crunch
Hot Chocolate Shaker,25,28.56,No Ingredients,https://www.chocolate.co.uk/products/hot-chocolate-shaker-new
Luxury Hot Chocolate Hamper,55,62.832,No Ingredients,https://www.chocolate.co.uk/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,19,21.7056,"Milk Chocolate (40% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Natural Vanilla Extract, Sorbitol, Glucose Syrup, Anhydrous Butter (Milk), Icing Sugar, Skimmed Milk, Marc De Champagne, Glycerin, Sunflower Lecithin.",https://www.chocolate.co.uk/products/marc-de-champagne-truffles
Marmalade,5,5.712,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (99.8%): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Vanilla Extract. Organic Bitter Orange Essential Oil (0.2%).",https://www.chocolate.co.uk/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb - Bag,8,9.1392,"Milk Chocolate (41% Cocoa Min, Pure Cocoa Butter) Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Honeycomb (Sugar, Glucose Syrup, Bicarbonate of Soda, Honey).",https://www.chocolate.co.uk/products/milk-chocolate-honeycomb
Milk Chocolate Malt Balls,9,10.2816,"Milk Chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter, Milk Powder, Cocoa Beans, Emulsifier: Soya Lecithin, Natural Vanilla Extract. Malt Ball Centres (35%): Corn Syrup, Sugar, Dairy Blend (Whey, Whey Protein Concentrate), Malt Powder (Malted Barley, Wheat, Milk, Hydrolyzed Wheat Gluten, Sodium Bicarbonate, Salt), Malted Barley, Soya Lecithin, Salt.",https://www.chocolate.co.uk/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,19,21.7056,"Milk Chocolate (37% Cocoa Minimum, Pure Cocoa Butter, 21% Milk Solids) Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier (Soya Lecithin) Natural Vanilla Extract. Cream, Sorbitol, Glucose, Butter, Sunflower Lecithin.",https://www.chocolate.co.uk/products/milk-chocolate-truffles
Orange Malt Balls,8,9.1392,"Milk Chocolate (75%) (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Beans, Emulsifier: Sunflower Lecithin, Natural Vanilla Extract. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey, WheyÂ Protein Concentrate), Malt Powder (MaltedÂ Barley,Â Wheat,Â Milk, HydrolysedÂ WheatÂ Gluten, Sodium Bicarbonate, Salt), MaltedÂ Barley,Â Emulsifier:Â SoyaÂ Lecithin. Organic Sweet Orange Essential Oil, Gum Arabic.",https://www.chocolate.co.uk/products/orange-malt-balls
Peppermint Malt Balls,8,9.1392,"White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter), Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, WholeÂ MilkÂ Powder, SkimmedÂ MilkÂ Powder, Emulsifier: (SoyaÂ Lecithin), Vanilla Extract. Malt Ball Centres: Corn Syrup, Sugar, Dairy Blend (Whey,Â WheyProtein Concentrate), Malt Powder (MaltedÂ Barley,Â Wheat,Â Milk, HydrolysedÂ Wheat Gluten, Sodium Bicarbonate, Salt), MaltedÂ Barley, Emulsifier:Â SoyaÂ Lecithin; Salt. Cocoa Butter, E102, E129. Organic Peppermint Essential Oil. Gum Arabic.",https://www.chocolate.co.uk/products/peppermint-malt-balls
Peppermint Swirl,5,5.712,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter) (65%), White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter) (34.9%): Cocoa Beans, Sugar, Cocoa Butter, Whole Milk Powder, Skimmed Milk Powder, Emulsifier: (Soya Lecithin), Vanilla Extract. Organic Peppermint Essential Oil (0.1%).",https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,5,5.712,"White Chocolate (36% Cocoa Minimum, Pure Cocoa Butter): Sugar, Cocoa Butter, Whole Milk Powder, Emulsifier: Soya Lecithin, Natural Vanilla Flavouring. Organic Dried Cranberries (8%): Cranberries, Sugar, Vegetable Oil. Pistachios (4%).",https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Pretzel Caramel,5,5.712,"Milk Chocolate (43% Cocoa Min, Pure Cocoa Butter, 19% Milk Solids) (91%): Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Beans, Emulsifier: (Soya Lecithin), Natural Vanilla Extract. Pretzel Pieces (7%): Wheat Flour, Sunflower Oil, Salt, Poppy Seeds,  Malted Wheat Flour, Smoke Flavouring, Yeast, Acidity Regulator: Sodium hydroxide. Caramel Chips (2%): Sugar, Glucose Syrup, Sweetened Condensed Milk, Salted Butter, Water.",https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Roasted Almonds,8,9.1392,No Ingredients,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Rose & Violet Creams,12,13.7088,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Soya Lecithin, Natural Vanilla Extract. Sugar, Glucose Syrup, Water, Crystalise Rose & Violet Pieces Pieces (Sugar, Acacia Gum, Natural Rose Flower, Natural Violet Flower, Colouring: E120, E132, E141, Aroma), Natural Flavouring",https://www.chocolate.co.uk/products/rose-violet-creams
Salt Caramel Malt Balls,9,10.2816,"Milk Chocolate (75%) (39% Cocoa Solids, Pure Cocoa Butter, 19% Milk Solids): Sugar, Cocoa Butter,Â WholeÂ Milk Powder, Cocoa Solids,Â Skimmed Milk, Whey (milk), Butter (milk),Â Emulsifier:Â Soya Lecithin, Emulsifier: Sunflower Lecithin, Flavourings. Malt Ball Centres (25%): Corn Syrup, Sugar, Dairy Blend (Whey,Â WheyÂ Protein Concentrate), Malt Powder (MaltedÂ Barley,Â Wheat,Â Milk, HydrolysedÂ Wheat Gluten, Sodium Bicarbonate, Salt), MaltedÂ Barley, Emulsifier:Â SoyaÂ Lecithin. Salt, Gum Arabic.",https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,8,9.1392,"CaramelisedÂ HazelnutsÂ (50%):Â Hazelnuts, Sugar. Milk chocolate (41% Cocoa Minimum, Pure Cocoa Butter, 19% Milk Solids) (49%): Sugar, Cocoa Butter,Â MilkÂ Powder, Cocoa Beans, Emulsifier: (SoyaLecithin) Vanilla Extract. Cocoa Powder (1%)",https://www.chocolate.co.uk/products/salt-caramelised-hazelnuts
Salted Caramel,5,5.712,"White Chocolate (32% Cocoa Minimum, Pure Cocoa Butter) (98%): Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Caramelised Sugar, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring, Salt. Sea Salt (2%).",https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,12,13.7088,"Dark Chocolate (61% Cocoa Minimum, Pure Cocoa Butter): Cocoa Beans, Sugar, Cocoa Butter, Emulsifier:Â SoyaÂ lecithin, Natural Vanilla Extract,Â Flaked Almonds, Sugar,Â Hazelnuts,Â ButterÂ (Milk),Â Cream (Milk), Sultanas (Sunflower Oil), Glucose syrup, Golden Syrup (Partially Inverted Refinerâ€™s Syrup), Candied Mixed Peel (Orange Peel, Glucose Fructose Syrup, Lemon Peel), Sea Salt.",https://www.chocolate.co.uk/products/salted-caramel-florentines
Salted Caramels Blonde Chocolate,19,21.7056,"White Chocolate (35% Cocoa Solids, Pure Cocoa Butter): Sugar, Cocoa Butter,Â Whole Milk Powder,Â Skimmed Milk,Â Whey (milk),Â Butter (milk), Emulsifier: (Soya Lecithin), Flavourings,Â Cream (milk),Â Golden Granulated Sugar, Glucose, Cocoa Butter, Butter (milk), Sea Salt 0.5%.",https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,19,21.7056,"Dark Chocolate (55% Cocoa Minimum, Pure Cocoa Butter), Sugar, Cocoa Beans, Emulsifier (Soya Lecithin), Natural Vanilla Extract. Cream, Sugar, Glucose, Butter, Cocoa Butter, Vanilla. Sea Salt. Cocoa Powder, E171, E172.",https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,19,21.7056,"Milk Chocolate (37% Cocoa Minimum, Pure Cocoa Butter, 21% Milk Solids), Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Emulsifier (Soya Lecithin), Natural Vanilla Extract. Cream, Sugar, Glucose, Butter, Cocoa Butter, Vanilla. Sea Salt. Cocoa Powder, E171.",https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Tea & Biscuit,5,5.712,"Blonde Chocolate (63.72%) (Cocoa Butter, Sugar, Whole Milk Powder, Skimmed Milk Powder, Whey Powder, Butter, Emulsifier: (Soya Lecithin), Natural Vanilla Flavouring.) Dark Chocolate (34.26%) (Cocoa Beans, Sugar, Cocoa Butter, Emulsifier: Sunflower Lecithin, Vanilla Extract)Â BiscuitÂ Pearls (1.97%) (Dark Chocolate Coating, White Chocolate Coating, Sugar, Cocoa Beans, Cocoa Butter,Â BiscuitÂ Cereal (Wheat Flour, Sugar, Wheat Malt, Wheat Starch, Raising Agent: E500ii, Salt, Cocoa Butter, Natural Flavouring), Whole Milk Powder, Dried Skimmed Milk, Whey (Milk), Butter (Milk), Emulsifier: (Sunflower Lecithin), Maltodextrin, Glazing Agent: Shellac, Natural Vanilla Extract) Organic Bergamot Oil (0.05%).",https://www.chocolate.co.uk/products/tea-biscuit-chocolate-bar
Velvet White,5,5.712,"White Chocolate (100%): Sugar, Cocoa Butter, Whole Milk Powder, Emulsifier: Soya Lecithin, Natural Vanilla Flavouring.",https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
